No.,Product Name,Price,PDF Pricing Text,PDF Page,Image File
1,Ladoo Candle,₹149 (4 units),149(4) rs,3,01_ladoo_candle.jpg
2,Bell jar Candle,₹349,349 rs,4,02_bell_jar_candle.jpg
3,Teddy Bear Candle,₹149,149 rs,5,03_teddy_bear_candle.jpg
4,Peony Candle,₹99,99 rs,6,04_peony_candle.jpg
5,Mithai Platter Candle,₹299,299 rs,7,05_mithai_platter_candle.jpg
6,Modak Candle,₹149 (4 units),149(4) rs,8,06_modak_candle.jpg
7,Urli Candle,₹239,239 rs,9,07_urli_candle.jpg
8,Ocean Breeze shell Candle,₹139,139 rs,10,08_ocean_breeze_shell_candle.jpg
9,Shell Candle,₹199,199 rs,11,09_shell_candle.jpg
10,Rich Divine Candle,₹149,149 rs,12,10_rich_divine_candle.jpg
11,Peacock urli Candle,₹349,349 rs,13,11_peacock_urli_candle.jpg
12,Coffee Latte Scented Candle,₹299,299 rs,14,12_coffee_latte_scented_candle.jpg
13,Rasmalai Candle,₹149,149 rs,15,13_rasmalai_candle.jpg
14,Creamy Daisy,₹199,199 rs,16,14_creamy_daisy.jpg
15,Peony Flower Bouquet,₹139,139 rs,17,15_peony_flower_bouquet.jpg
16,Laddu candle,₹150 (4 units),150(4) rs,18,16_laddu_candle.jpg
17,Glitter jar candle,₹249,249 rs,19,17_glitter_jar_candle.png
18,Hamper bouquet,₹400,400 rs,20,18_hamper_bouquet.png
19,Heart jar candle,₹199,199 rs,21,19_heart_jar_candle.png
20,Wooden Round,₹320,320 rs,22,20_wooden_round.jpg
21,Cristal jar 250 ml,₹399,399 rs,23,21_cristal_jar_250_ml.png
22,Daisy candles,₹30,30 rs,24,22_daisy_candles.jpg
23,Daisy Bouquets,₹99,99 rs,25,23_daisy_bouquets.jpg
24,Flower Bouquet,₹750,750 rs,26,24_flower_bouquet.jpg
25,Blossom Glow Candle Bouquet,₹499,499 rs,27,25_blossom_glow_candle_bouquet.jpg
26,Candle Bouquet,₹849,849 rs,28,26_candle_bouquet.jpg
27,Wine Candle,₹449,449 rs,29,27_wine_candle.jpg
28,Mini candle jar,₹149,149 rs,30,28_mini_candle_jar.jpg
29,Heart candle jar,₹249,249 rs,31,29_heart_candle_jar.jpg
30,Christmas tree Candle,₹119,119 rs,32,30_christmas_tree_candle.jpg
31,Christmas jar,₹169,169 rs,33,31_christmas_jar.jpg
32,Santa candle,₹129,129 rs,34,32_santa_candle.jpg
33,Mandala tin jar,₹169,169 rs,35,33_mandala_tin_jar.jpg
34,Starfish Candle,₹199,199 rs,36,34_starfish_candle.jpg
35,Daisy Jar Big Candle,₹329,329 rs,,Daisy jar big 329.jpeg
36,Daisy Pot Candle,₹499 (6 inch),499 6 inch rs,,Daisy pott 499 6 inch.jpeg
37,Heart T-Light Candles,₹60 (2 pcs),60(2p) rs,,Heart T light 60(2p).jpeg
38,Hibiscus T-Light Candles,₹149 (2 pcs),149 (2p rs,,Hibiscus T light 149 (2p.jpeg
39,Ice Cream Jar Candle,₹239,239 rs,,Ice cream jar  239.jpeg
40,Lotus Diya Candles,₹169 (6 units),169(6) rs,,Lotus Diya 169(6).jpeg
41,Lotus Urli Candle,₹269 (4 inch),269 4 inch rs,,Lotus urli 4 inch 269.jpeg
42,Ocean Big Jar Candle,₹199,199 rs,,Ocean jat candle big jar 199.jpeg
43,Ocean T-Light Candles,₹60 (2 pcs),60(2p) rs,,Ocean t light 60(2p).jpeg
44,Royal Peacock Urli Candle,₹399,399 rs,,Peacock Urli 399.jpeg
45,Peacock Urli Candle,₹349,349 rs,,Peacock Urli Candle 349.jpeg
46,Plumeria Small Jar Candle,₹199 (Small),199 small rs,,Plumeriya jar  candle small 199.jpeg
47,Rose Candle Bouquet,₹399,399 rs,,Rose Bouquet 399.jpeg
48,Starfish Coastal Candle,₹299,299 rs,,Star Fish Candle 299.jpeg
49,Sunflower Peacock Urli,₹429,429 rs,,Sunflower Peacock urli 429.jpeg
50,Sunflower T-Light Candles,₹150 (2 pcs),150(2) rs,,Sunflower T-Light 150(2).jpeg
51,Sunflower Urli Candle,₹279,279 rs,,Sunflower urli 279.jpeg
52,Teddy Bear T-Light Candle,₹149 (1 pc),149(1) rs,,Teddy T light 149(1).jpeg
53,Tulips Jar Candle,₹269,269 rs,,Tulips Jar 269.jpeg
54,Tulsi Diya Candle Set,₹229 (4 units),229(4) rs,,Tulsi Set 229(4).jpeg
55,Water Gel Jar Candle,₹299,299 rs,,Water jar candle 299.jpeg
56,Wine Glass Candle,₹369 (1 pc / ₹699 2 pcs),369 (1p) 699(2p) rs,,Wine candle 369 (1p) 699(2p).jpeg
